cup_game_date,cup_stage,cup_round,cup_section,cup_leg_no,decider,cup_outcome,agg_outcome,agg_score,agg_gf,agg_ga,gg_outcome,away_goal_outcome,pens_outcome,pens_score,pens_gf,pens_ga,game_length,outcome_desc,is_qualifying_round,is_group_stage,is_multi_leg,is_replay,is_extra_time,is_golden_goal,is_pen_shootout,is_play_off
1981-09-01,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1981-09-15,1st Round 2nd Leg,1,,2.0,agg,W,W,7-5,7.0,5.0,,,,,,,90,Won 7-5 on agg,0,0,1,0,0,0,0,0
1981-10-05,2nd Round 1st Leg,2,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1981-10-28,2nd Round 2nd Leg,2,,2.0,agg,W,W,4-1,4.0,1.0,,,,,,,90,Won 4-1 on agg,0,0,1,0,0,0,0,0
1981-11-10,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1981-11-21,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1981-11-24,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1981-12-02,4th Round,4,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1982-08-31,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1982-09-13,1st Round 2nd Leg,1,,2.0,away_goals,W,D,1-1,1.0,1.0,,W,,,,,90,Won on away goals rule,0,0,1,0,0,0,0,0
1982-10-06,2nd Round 1st Leg,2,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1982-10-27,2nd Round 2nd Leg,2,,2.0,agg,L,L,2-5,2.0,5.0,,,,,,,90,Lost 2-5 on agg,0,0,1,0,0,0,0,0
1982-11-20,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1982-12-11,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1982-12-14,2nd Round Replay,2,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1983-01-08,3rd Round,3,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1983-08-30,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1983-09-12,1st Round 2nd Leg,1,,2.0,agg,L,L,0-1,0.0,1.0,,,,,,,90,Lost 0-1 on agg,0,0,1,0,0,0,0,0
1983-11-19,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1983-11-22,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1984-02-20,1st Round - Northern Section,1,Northern,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1984-03-12,2nd Round - Northern Section,2,Northern,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1984-03-20,Quarter-Final - Northern Section,QF,Northern,,pens,W,,,,,,,W,4-3,4.0,3.0,120,Won 4-3 on pens,1,0,0,0,1,0,1,0
1984-04-17,Semi-Final - Northern Section,SF,Northern,,,,,,,,,,,,,,120,,0,0,0,0,1,0,0,0
1984-05-18,Final - Northern Section,F,Northern,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1984-08-28,1st Round 1st Leg,1,,1.0,,,,,,,,,,,,,90,,0,0,1,0,0,0,0,0
1984-09-04,1st Round 2nd Leg,1,,2.0,agg,L,L,4-5,4.0,5.0,,,,,,,90,Lost 5-4 on agg,0,0,1,0,0,0,0,0
1984-11-17,1st Round,1,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
1984-11-20,1st Round Replay,1,,,,,,,,,,,,,,,90,,0,0,0,1,0,0,0,0
1984-12-08,2nd Round,2,,,,,,,,,,,,,,,90,,0,0,0,0,0,0,0,0
