game_date,player_id,player_name,card_type,card_min
1995-09-23,IronsKenny19701104,Kenny Irons,yellow,
1995-09-30,StevensGary19630327,Gary Stevens,yellow,
1995-10-04,BrannanGed19720115,Ged Brannan,yellow,
1995-10-07,StevensGary19630327,Gary Stevens,yellow,
1995-10-29,ThomasTony19710712,Tony Thomas,yellow,
1995-11-08,TealeShaun19640310,Shaun Teale,yellow,
1995-11-19,BennettGary19630920,Gary Bennett,yellow,
1995-11-19,JonesGary19750510,Gary Jones,yellow,
1995-11-19,BranchGraham19720212,Graham Branch,yellow,
1995-11-19,McGrealJohn19720602,John McGreal,yellow,
1995-11-22,ThomasTony19710712,Tony Thomas,yellow,
1995-11-25,GarnettShaun19691122,Shaun Garnett,yellow,
1995-11-25,ThomasTony19710712,Tony Thomas,yellow,
1995-12-02,GarnettShaun19691122,Shaun Garnett,yellow,
1995-12-02,ThomasTony19710712,Tony Thomas,yellow,
1995-12-09,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1995-12-09,TealeShaun19640310,Shaun Teale,yellow,
1995-12-16,CoyneDanny19730827,Danny Coyne,yellow,
1995-12-16,BrannanGed19720115,Ged Brannan,yellow,
1995-12-16,TealeShaun19640310,Shaun Teale,yellow,
1995-12-23,BennettGary19630920,Gary Bennett,yellow,
1996-01-01,JonesGary19750510,Gary Jones,yellow,
1996-01-20,GarnettShaun19691122,Shaun Garnett,yellow,
1996-01-30,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1996-02-03,HigginsDave19610819,Dave Higgins,yellow,
1996-02-10,MungallSteve19580522,Steve Mungall,yellow,
1996-02-17,BranchGraham19720212,Graham Branch,yellow,
1996-02-20,GarnettShaun19691122,Shaun Garnett,yellow,
1996-02-20,TealeShaun19640310,Shaun Teale,yellow,
1996-02-24,TealeShaun19640310,Shaun Teale,yellow,
1996-03-16,ThomasTony19710712,Tony Thomas,yellow,
1996-03-23,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1996-03-30,RogersAlan19770103,Alan Rogers,yellow,
1996-03-30,TealeShaun19640310,Shaun Teale,yellow,
1996-04-02,TealeShaun19640310,Shaun Teale,yellow,
1996-04-06,RogersAlan19770103,Alan Rogers,yellow,
1996-04-08,BrannanGed19720115,Ged Brannan,yellow,
1996-04-13,StevensGary19630327,Gary Stevens,yellow,
1996-04-13,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1996-04-27,MorganAlan19731102,Alan Morgan,yellow,
1996-04-27,HigginsDave19610819,Dave Higgins,red,37
1996-04-27,CookPaul19670222,Paul Cook,yellow,
1996-04-30,AldridgeJohn19580918,John Aldridge,yellow,
1996-08-17,RogersAlan19770103,Alan Rogers,red,69
1996-08-17,BonettiIvano19640801,Ivano Bonetti,yellow,
1996-08-21,CookPaul19670222,Paul Cook,yellow,
1996-08-23,TealeShaun19640310,Shaun Teale,yellow,
1996-08-31,CookPaul19670222,Paul Cook,yellow,
1996-08-31,ThomasTony19710712,Tony Thomas,yellow,
1996-09-07,BranchGraham19720212,Graham Branch,yellow,
1996-09-07,OBrienLiam19640905,Liam O'Brien,yellow,
1996-09-10,MorrisseyJohnny19650308,Johnny Morrissey,yellow,
1996-09-10,OBrienLiam19640905,Liam O'Brien,yellow,
1996-09-14,AldridgeJohn19580918,John Aldridge,yellow,
1996-09-14,IronsKenny19701104,Kenny Irons,yellow,
1996-09-14,CookPaul19670222,Paul Cook,yellow,
1996-09-17,HigginsDave19610819,Dave Higgins,yellow,
1996-09-17,IronsKenny19701104,Kenny Irons,yellow,
1996-09-21,CookPaul19670222,Paul Cook,yellow,
1996-09-24,BonettiIvano19640801,Ivano Bonetti,yellow,
1996-09-28,ThornAndy19661112,Andy Thorn,yellow,
1996-09-28,BrannanGed19720115,Ged Brannan,yellow,
1996-09-28,BranchGraham19720212,Graham Branch,yellow,
1996-09-28,BonettiIvano19640801,Ivano Bonetti,yellow,
1996-09-28,AldridgeJohn19580918,John Aldridge,yellow,
1996-10-04,ThornAndy19661112,Andy Thorn,yellow,
1996-10-12,ThornAndy19661112,Andy Thorn,yellow,
1996-10-12,BonettiIvano19640801,Ivano Bonetti,yellow,
1996-10-12,AldridgeJohn19580918,John Aldridge,yellow,
1996-10-15,ThornAndy19661112,Andy Thorn,yellow,
1996-10-15,OBrienLiam19640905,Liam O'Brien,yellow,
1996-12-03,MahonAlan19780404,Alan Mahon,yellow,
1996-12-03,BrannanGed19720115,Ged Brannan,yellow,
1996-12-07,OBrienLiam19640905,Liam O'Brien,yellow,
1996-12-26,BrannanGed19720115,Ged Brannan,yellow,
1996-12-26,BranchGraham19720212,Graham Branch,yellow,
1996-12-26,NevinPat19630906,Pat Nevin,yellow,
1996-12-26,TealeShaun19640310,Shaun Teale,yellow,
1997-01-01,MahonAlan19780404,Alan Mahon,yellow,
1997-01-01,OBrienLiam19640905,Liam O'Brien,yellow,
1997-01-14,NixonEric19621004,Eric Nixon,yellow,
1997-01-14,BranchGraham19720212,Graham Branch,yellow,
1997-01-14,AldridgeJohn19580918,John Aldridge,yellow,
1997-01-14,AldridgeJohn19580918,John Aldridge,red,78
1997-01-14,ThomasTony19710712,Tony Thomas,yellow,
1997-01-18,HigginsDave19610819,Dave Higgins,yellow,
1997-01-18,HigginsDave19610819,Dave Higgins,red,34
1997-01-18,OBrienLiam19640905,Liam O'Brien,yellow,
1997-01-18,NevinPat19630906,Pat Nevin,yellow,
1997-01-28,ThomasMooreIan19760826,Ian Thomas-Moore,yellow,
1997-02-01,ThornAndy19661112,Andy Thorn,yellow,
1997-02-01,CookPaul19670222,Paul Cook,yellow,
