game_date,player_on_id,player_off_id,sub_min,min_off,sub_reason
1974-02-02,CoppellSteve19550709,CrossleyPaul19480714,,,
1974-02-10,AllenRussell19540109,PeplowSteve19490108,,,
1974-02-17,CoppellSteve19550709,LoydenEddie19451222,,,
1974-02-24,CrossleyPaul19480714,PeplowSteve19490108,,,
1974-03-02,AllenRussell19540109,CrossleyPaul19480714,,,
1974-03-23,CoppellSteve19550709,CrossleyPaul19480714,,,
1974-03-30,PaliosMark19521109,TynanBobby19551207,,,
1974-04-13,SeasmanJohn19550221,PaliosMark19521109,,,
1974-04-16,PaliosMark19521109,CrossleyPaul19480714,,,
1974-04-20,PaliosMark19521109,PeplowSteve19490108,,,
1974-08-24,WebbJohn19520210,YoungTommy19471224,,,
1974-08-31,MitchellBarrie19470315,TynanBobby19551207,,,
1974-09-07,WebbJohn19520210,YoungTommy19471224,,,
1974-09-13,PeplowSteve19490108,YoungTommy19471224,,,
1974-09-18,WebbJohn19520210,PaliosMark19521109,,,
1974-09-21,AllenRussell19540109,VeitchTommy19491016,,,
1974-09-25,AllenRussell19540109,MitchellBarrie19470315,,,
1974-09-27,MitchellBarrie19470315,SeasmanJohn19550221,,,
1974-10-01,MitchellBarrie19470315,PaliosMark19521109,,,
1974-10-04,CrossleyPaul19480714,PhilpottsDave19540331,,,
1974-10-19,MitchellBarrie19470315,TynanBobby19551207,,,
1974-10-21,CrossleyPaul19480714,WebbJohn19520210,,,
1974-10-26,ParryLes19531113,MitchellBarrie19470315,,,
1974-11-02,AllenRussell19540109,SeasmanJohn19550221,,,
1974-11-09,CrossleyPaul19480714,PeplowSteve19490108,,,
1974-11-15,AllenRussell19540109,TynanBobby19551207,,,
1974-11-29,AllenRussell19540109,CrossleyPaul19480714,,,
1974-12-06,AllenRussell19540109,CrossleyPaul19480714,,,
1974-12-14,AllenRussell19540109,TynanBobby19551207,,,
1974-12-21,AllenRussell19540109,ParryLes19531113,,,
1974-12-26,WebbJohn19520210,TynanBobby19551207,,,
1974-12-28,PeplowSteve19490108,MooreRonnie19530129,,,
1975-01-04,VeitchTommy19491016,TynanBobby19551207,,,
1975-01-18,FaganKit19500605,PeplowSteve19490108,,,
1975-01-31,FaganKit19500605,MitchellBarrie19470315,,,
1975-02-14,MitchellBarrie19470315,WoodinSteve19550106,,,
1975-02-22,VeitchTommy19491016,AllenRussell19540109,,,
1975-02-28,WoodinSteve19550106,ParryLes19531113,,,
1975-03-21,WoodinSteve19550106,PaliosMark19521109,,,
1975-04-03,McBurneyMike19530912,MitchellBarrie19470315,,,
1975-04-07,AllenRussell19540109,PeplowSteve19490108,,,
1975-04-12,FaganKit19500605,CrossleyPaul19480714,,,
1975-04-18,ParryLes19531113,AllenRussell19540109,,,
1975-04-26,PeplowSteve19490108,PaliosMark19521109,,,
1975-05-07,KennyBilly19511023,TynanBobby19551207,,,
1975-08-22,CrossleyPaul19480714,PeplowSteve19490108,,,
1975-08-26,CrossleyPaul19480714,PaliosMark19521109,,,
1975-08-29,AllenRussell19540109,YoungTommy19471224,,,
1975-09-02,PeplowSteve19490108,PaliosMark19521109,,,
1975-09-22,AllenRussell19540109,TynanBobby19551207,,,
1975-09-27,AllenRussell19540109,JamesJohn19481024,,,
1975-10-03,PaliosMark19521109,PeplowSteve19490108,,,
1975-10-18,KennyBilly19511023,TynanBobby19551207,,,
1975-11-01,KennyBilly19511023,PeplowSteve19490108,,,
1975-11-15,KennyBilly19511023,PeplowSteve19490108,,,
1975-11-22,KennyBilly19511023,MitchellBarrie19470315,,,
1975-11-28,MitchellBarrie19470315,MooreRonnie19530129,,,
1975-12-13,TynanBobby19551207,JamesJohn19481024,,,
1975-12-27,KennyBilly19511023,TynanBobby19551207,,,
1976-01-09,KennyBilly19511023,TynanBobby19551207,,,
